A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,age,gender,accuracy,country,source,elapsed,user_id
1,4,2,3,3,2,3,4,4,3,4,4,5,4,5,4,5,4,1,2,1,1,1,17,1,92,US,6,914,1
4,3,4,3,4,4,4,4,2,2,4,4,4,4,5,4,3,2,3,2,4,1,1,37,1,100,US,1,891,2
3,4,4,4,4,4,4,3,2,2,4,4,5,5,4,4,4,4,2,2,2,2,2,31,1,80,US,6,903,3
4,5,4,4,4,3,3,2,2,2,4,2,4,5,4,5,4,4,3,3,3,2,4,32,1,93,US,1,806,4
4,0,4,4,4,3,5,1,2,4,2,4,4,5,5,4,4,5,4,1,5,1,2,46,2,87,NZ,1,1826,5
3,5,4,4,4,5,5,1,1,4,4,1,4,5,3,4,3,3,2,2,1,2,2,36,2,80,IT,3,669,6
4,2,5,4,2,4,4,2,1,3,5,3,5,5,5,3,5,5,2,2,1,1,1,35,1,80,US,1,717,7
4,5,4,4,4,4,5,2,2,2,3,3,4,5,4,4,4,5,4,2,3,1,1,61,2,100,US,1,567,8
2,4,2,5,5,4,5,4,2,2,5,3,5,5,4,4,5,4,3,4,1,2,2,17,2,78,US,6,651,9
5,5,3,3,5,4,4,3,1,3,4,4,5,5,5,3,4,5,2,1,2,1,2,19,1,95,US,6,1835,10
5,5,4,5,5,5,4,5,2,3,4,3,5,5,4,4,5,4,5,2,2,4,2,21,1,95,US,6,770,11
5,4,4,4,5,5,5,3,2,1,4,3,5,5,4,3,4,4,5,2,3,3,4,23,2,82,US,6,922,12
5,4,5,4,4,4,3,3,2,4,3,3,4,3,4,4,2,4,1,2,1,1,1,17,2,90,US,1,431,13
5,4,5,4,4,4,3,1,2,4,4,5,5,5,5,4,5,4,3,5,2,3,2,24,2,90,TR,1,932,14
3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,21,2,54,PH,6,220,15
4,4,4,4,4,4,4,2,3,2,3,4,4,5,4,4,3,4,4,2,4,2,1,37,2,90,US,1,41909,16
5,5,5,5,5,5,5,4,1,2,3,3,5,5,3,4,5,5,2,3,3,4,4,32,2,70,NL,5,713,17
5,5,5,4,5,3,4,1,2,1,4,3,5,5,5,4,4,4,1,1,2,1,1,21,1,95,IN,1,1467,18
4,4,4,3,5,4,5,4,1,2,4,2,4,5,4,4,4,4,4,2,1,2,3,25,1,97,US,6,1235,19
4,4,4,4,4,4,5,2,2,3,3,3,4,4,4,4,4,4,4,4,3,2,4,22,2,85,US,6,500,20
5,4,4,4,4,4,4,4,2,2,3,1,4,4,2,4,2,4,5,3,2,2,2,19,1,75,US,6,844,21
4,4,4,4,4,4,3,2,2,2,3,3,4,4,3,4,4,4,3,2,4,2,2,44,1,95,US,6,590,22
2,3,4,3,4,4,4,4,2,2,4,4,4,4,4,4,4,4,3,2,3,2,2,26,2,90,US,1,578,23
4,5,5,3,4,4,3,4,1,3,4,4,4,4,2,4,4,4,2,4,1,3,2,18,2,70,FI,1,951,24
4,5,4,5,4,4,5,3,1,2,3,3,5,5,5,2,5,2,5,2,3,1,2,21,2,100,US,6,945,25
3,4,2,3,4,3,3,4,1,2,3,4,2,5,5,2,3,3,1,3,2,1,1,22,1,75,US,6,1000,26
4,5,4,4,5,3,5,2,2,1,3,2,4,4,5,1,5,5,5,2,2,3,4,20,2,94,US,6,801,27
4,4,4,5,4,3,4,2,1,2,4,4,4,4,4,4,4,4,4,4,2,2,4,21,2,91,US,1,686,28
4,4,4,4,4,4,5,3,2,2,3,4,4,4,4,0,3,5,4,2,1,2,2,20,2,98,US,6,649,29
5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,1,1,1,5,21,2,75,US,6,797,30
4,4,3,3,4,4,4,4,3,1,2,2,4,5,3,3,4,4,4,1,3,1,4,19,1,90,US,6,1556,31
1,3,1,1,1,4,5,3,2,3,1,3,4,4,4,2,3,4,3,1,5,3,1,19,1,75,US,6,268,32
4,4,5,4,5,5,5,2,3,2,3,3,4,4,4,3,4,4,2,2,3,1,2,19,1,98,US,6,1289,33
3,3,3,3,3,4,4,4,3,2,4,2,4,4,4,4,2,4,4,3,2,2,3,21,1,85,US,6,5492,34
